ID,ADDRESS,TERMINAL_NUMBER,LATITUDE,LONGITUDE,NUMBER_OF_BIKES,NUMBER_OF_EMPTY_DOCKS
78,Eastern Market Metro / Pennsylvania Ave & 7th St SE,31613,38.884,-76.995397,0,18
79,18th & M St NW,31221,38.905067,-77.041779,17,10
80,Tenleytown / Wisconsin Ave & Albemarle St NW,31303,38.947607,-77.079382,12,3
81,13th & H St NE,31611,38.900427,-76.98825,20,7
82,5th & F St NW,31620,38.897222,-77.019347,19,12
83,New York Ave & 15th St NW,31222,38.899032,-77.033354,13,5
84,Convention Center / 7th & M St NW,31223,38.905737,-77.02227,21,2
85,Harvard St & Adams Mill Rd NW,31112,38.927872,-77.043358,9,5
86,18th & L St NW,31224,38.903741,-77.042452,9,7
87,C & O Canal & Wisconsin Ave NW,31225,38.90375,-77.06269,6,16
88,Maine Ave & 7th St SW,31609,38.878694,-77.023054,10,9
89,D St & Maryland Ave NE,31612,38.894758,-76.997114,3,19
90,34th St & Wisconsin Ave NW,31226,38.916442,-77.0682,4,7
91,13th St & New York Ave NW,31227,38.900283,-77.029822,9,14
92,8th & H St NW,31228,38.8997,-77.023086,19,13
93,10th & Monroe St NE,31504,38.932514,-76.992889,4,10
94,Eckington Pl & Q St NE,31505,38.910972,-77.00495,15,7
95,6th & H St NE,31615,38.899972,-76.998347,18,5
96,3rd & H St NE,31616,38.900412,-77.001949,8,11
97,Bladensburg Rd & Benning Rd NE,31617,38.900413,-76.982872,15,0
98,4th & East Capitol St NE,31618,38.889955,-77.000349,4,7
99,Lincoln Park / 13th & East Capitol St NE,31619,38.890461,-76.988355,4,21
100,Branch & Pennsylvania Ave SE,31701,38.8692,-76.9599,1,10
101,13th & D St NE,31622,38.894832,-76.987633,22,9
102,New Hampshire Ave & T St NW,31229,38.91554,-77.03818,13,10
103,Metro Center / 12th & G St NW,31230,38.898364,-77.027869,31,8
104,14th & D St NW / Ronald Reagan Building,31231,38.894514,-77.031617,13,12
105,7th & F St NW / National Portrait Gallery,31232,38.897283,-77.022191,7,20
106,17th & K St NW / Farragut Square,31233,38.902061,-77.038322,24,11
107,20th & O St NW / Dupont South,31234,38.908905,-77.04478,3,16
108,4th & D St NW / Judiciary Square,31621,38.895344,-77.016106,3,11
109,19th St & Constitution Ave NW,31235,38.8923,-77.0436,21,12
110,37th & O St NW / Georgetown University,31236,38.90774,-77.071652,8,14
111,11th & H St NE,31614,38.899983,-76.991383,5,14
112,25th St & Pennsylvania Ave NW,31237,38.903827,-77.053485,2,13
113,Columbus Circle / Union Station,31623,38.89696,-77.00493,35,20
114,North Capitol St & F St NW,31624,38.897446,-77.009888,17,5
115,11th & M St NW,31266,38.905607,-77.027137,11,6
116,36th & Calvert St NW / Glover Park,31304,38.922581,-77.070334,15,0
117,14th & G St NW,31238,38.898409,-77.032278,5,16
118,Potomac Ave & 35th St S,31052,38.844015,-77.050537,4,19
124,Ohio Dr & West Basin Dr SW / MLK & FDR Memorials,31240,38.88412,-77.04657,7,24
125,11th & F St NW,31262,38.897857,-77.026975,9,5
126,23rd & E St NW,31260,38.896104,-77.049882,8,11
127,Lynn St & 19th St North,31014,38.897315,-77.070993,16,15
128,Rosslyn Metro / Wilson Blvd & Ft Myer Dr,31015,38.8946,-77.072305,15,4
129,Clarendon Blvd & Pierce St,31016,38.893438,-77.076389,6,9
130,Wilson Blvd & N Uhle St,31017,38.891696,-77.0846,10,5
131,Rhodes St & 16th St N,31018,38.892164,-77.079375,6,5
132,Fairfax Village,31706,38.86559,-76.952103,4,11
133,21st St & Constitution Ave NW,31261,38.892459,-77.046567,7,7
134,Wilson Blvd & N Edgewood St,31019,38.889,-77.0925,7,7
135,Columbia Rd & Belmont St NW,31113,38.920669,-77.04368,7,11
136,Rhode Island & Connecticut Ave NW,31239,38.905996,-77.039802,9,14
137,Thomas Circle,31241,38.9059,-77.0325,20,13
